"Year","Number of IPOs","Amount Raised (Rs Cr)","Successful IPOs","Failed IPOs"
"2024 *","29","27,652","29","0"
"2023","58","49,437","57","1"
"2022","40","59,939","40","0"
"2021","63","119,882","63","0"
"2020","16","26,628","15","1"
"2019","16","12,687","16","0"
"2018","25","31,731","24","1"
"2017","38","75,279","38","0"
"2016","27","26,501","26","1"
"2015","21","13,513","21","0"
"2014","7","1,201","5","2"
"2013","5","1,284","3","2"
"2012","13","6,834","11","2"
"2011","40","5,977","37","3"
"2010","66","36,362","64","2"
"2009","22","19,307","21","1"
"2008","39","18,340","36","3"
"2007","108","33,946","104","4"
